name,search_item,latitude,longitude,url,
New Friends Colony Delhi,"IELTS Coaching or Tuition Institutes in New Friends Colony, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Panchsheel Enclave Delhi,"IELTS Coaching or Tuition Institutes in Panchsheel Enclave, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Panchsheel Park Delhi,"IELTS Coaching or Tuition Institutes in Panchsheel Park, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
R K Puram Delhi,"IELTS Coaching or Tuition Institutes in R K Puram, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Safdarjung Development Area Delhi,"IELTS Coaching or Tuition Institutes in Safdarjung Development Area, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Safdarjung Enclave Delhi,"IELTS Coaching or Tuition Institutes in Safdarjung Enclave, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Sainik Farm Delhi,"IELTS Coaching or Tuition Institutes in Sainik Farm, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Saket Delhi,"IELTS Coaching or Tuition Institutes in Saket, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Shanti Niketan Delhi,"IELTS Coaching or Tuition Institutes in Shanti Niketan, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Siri Fort Delhi,"IELTS Coaching or Tuition Institutes in Siri Fort, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
