search_item,search_lat,search_lon,url,url_lat,url_lon,distance_km,within_7km
"IELTS Coaching or Tuition Institutes in Jor Bagh, Delhi",28.5575086,77.2074357,https://www.google.com/maps/place/COMS+Classes/data=!4m7!3m6!1s0x390ce318da121f0d:0xbb54606a35781660!8m2!3d28.5815552!4d77.2181891!16s%2Fg%2F11vqp8ggb7!19sChIJDR8S2hjjDDkRYBZ4NWpgVLs?authuser=0&hl=en&rclk=1,28.5815552,77.2181891,2.87,YES
"IELTS Coaching or Tuition Institutes in Jor Bagh, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Unacademy+Centre+-+Lajpat+Nagar,+Delhi/data=!4m7!3m6!1s0x390ce3cf96d76747:0x6731ad03a5b5b5bf!8m2!3d28.5645933!4d77.2394616!16s%2Fg%2F11sjtmsql7!19sChIJR2fXls_jDDkRv7W1pQOtMWc?authuser=0&hl=en&rclk=1",28.5645933,77.2394616,3.23,YES
"IELTS Coaching or Tuition Institutes in Kailash Colony, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Leverage+Edu+-+Study+Abroad+Consultant+in+Nehru+Place,+New+Delhi/data=!4m7!3m6!1s0x390ce3bbb01984e1:0x9ec3ec938b4ba853!8m2!3d28.55109!4d77.25031!16s%2Fg%2F11y6zs_432!19sChIJ4YQZsLvjDDkRU6hLi5Psw54?authuser=0&hl=en&rclk=1",28.55109,77.25031,4.25,YES
